brand,category_code,event_type,count
a-elita,accessories.bag,cart,8
a-elita,accessories.bag,purchase,1
a-elita,accessories.bag,view,311
aardwolf,computers.components.cooler,cart,13
aardwolf,computers.components.cooler,purchase,7
aardwolf,computers.components.cooler,view,458
abtoys,kids.toys,cart,1
abtoys,kids.toys,view,90
accumaster,country_yard.lawn_mower,view,19
acd,computers.components.cooler,cart,1
acd,computers.components.cooler,view,49
acer,accessories.bag,cart,78
acer,accessories.bag,purchase,30
acer,accessories.bag,view,2435
acer,computers.desktop,cart,1284
acer,computers.desktop,purchase,394
acer,computers.desktop,view,87355
acer,computers.notebook,cart,17096
acer,computers.notebook,purchase,5418
acer,computers.notebook,view,513852
acer,computers.peripherals.monitor,cart,1766
acer,computers.peripherals.monitor,purchase,519
acer,computers.peripherals.monitor,view,60037
acer,computers.peripherals.mouse,cart,6
acer,computers.peripherals.mouse,purchase,1
acer,computers.peripherals.mouse,view,504
acer,electronics.audio.headphone,cart,4
acer,electronics.audio.headphone,purchase,1
acer,electronics.audio.headphone,view,194
acer,electronics.tablet,cart,140
acer,electronics.tablet,purchase,35
acer,electronics.tablet,view,6838
acer,electronics.video.projector,cart,6
acer,electronics.video.projector,purchase,4
acer,electronics.video.projector,view,913
aces,electronics.audio.subwoofer,cart,1
aces,electronics.audio.subwoofer,purchase,1
aces,electronics.audio.subwoofer,view,354
acme,appliances.personal.scales,cart,38
acme,appliances.personal.scales,purchase,17
acme,appliances.personal.scales,view,906
acme,computers.desktop,view,131
acme,computers.peripherals.keyboard,cart,7
acme,computers.peripherals.keyboard,purchase,5
acme,computers.peripherals.keyboard,view,476
acme,computers.peripherals.mouse,cart,36
acme,computers.peripherals.mouse,purchase,9
acme,computers.peripherals.mouse,view,761
acme,electronics.audio.headphone,cart,65
acme,electronics.audio.headphone,purchase,13
acme,electronics.audio.headphone,view,2346
acme,electronics.camera.video,cart,39
acme,electronics.camera.video,purchase,11
acme,electronics.camera.video,view,1696
acme,electronics.clocks,cart,57
acme,electronics.clocks,purchase,20
acme,electronics.clocks,view,2768
acqua,electronics.audio.headphone,cart,14
acqua,electronics.audio.headphone,purchase,3
acqua,electronics.audio.headphone,view,217
acron,accessories.bag,cart,3
acron,accessories.bag,purchase,2
acron,accessories.bag,view,53
acv,auto.accessories.player,cart,10
acv,auto.accessories.player,purchase,4
acv,auto.accessories.player,view,1605
acv,electronics.audio.subwoofer,cart,57
acv,electronics.audio.subwoofer,purchase,15
acv,electronics.audio.subwoofer,view,2119
adagio,electronics.audio.acoustic,cart,19
adagio,electronics.audio.acoustic,purchase,7
adagio,electronics.audio.acoustic,view,678
adam,electronics.audio.acoustic,cart,10
adam,electronics.audio.acoustic,view,117
adamas,furniture.bedroom.pillow,cart,12
adamas,furniture.bedroom.pillow,view,229
adamex,furniture.kitchen.chair,cart,3
adamex,furniture.kitchen.chair,purchase,2
adamex,furniture.kitchen.chair,view,551
adamex,furniture.living_room.chair,view,24
adamex,kids.carriage,cart,153
adamex,kids.carriage,purchase,32
adamex,kids.carriage,view,8152
adamex,kids.toys,view,136
adata,computers.components.hdd,cart,132
adata,computers.components.hdd,purchase,31
adata,computers.components.hdd,view,2793
adata,computers.components.memory,cart,55
adata,computers.components.memory,purchase,15
adata,computers.components.memory,view,2012
adel,furniture.bedroom.pillow,view,51
adidas,apparel.glove,view,235
adidas,apparel.shoes.keds,cart,407
adidas,apparel.shoes.keds,purchase,95
adidas,apparel.shoes.keds,view,29501
adidas,apparel.tshirt,cart,1
adidas,apparel.tshirt,view,165
adil,kids.carriage,view,3
admira,electronics.audio.acoustic,cart,4
admira,electronics.audio.acoustic,view,628
adriatica,electronics.clocks,cart,80
adriatica,electronics.clocks,purchase,29
adriatica,electronics.clocks,view,8225
aeg,appliances.kitchen.dishwasher,view,1
aeg,appliances.kitchen.hob,view,1
aeg,appliances.kitchen.hood,view,35
aeg,appliances.kitchen.oven,cart,8
aeg,appliances.kitchen.oven,purchase,4
aeg,appliances.kitchen.oven,view,533
aeg,appliances.kitchen.refrigerators,view,131
aeg,appliances.personal.massager,cart,3
aeg,appliances.personal.massager,purchase,1
aeg,appliances.personal.massager,view,724
aeg,appliances.personal.scales,cart,12
aeg,appliances.personal.scales,purchase,5
aeg,appliances.personal.scales,view,347
aero,furniture.kitchen.chair,cart,62
aero,furniture.kitchen.chair,purchase,25
aero,furniture.kitchen.chair,view,2317
aero,furniture.kitchen.table,cart,69
aero,furniture.kitchen.table,purchase,27
aero,furniture.kitchen.table,view,3952
aero,furniture.living_room.sofa,purchase,1
aero,furniture.living_room.sofa,view,572
aerocool,computers.components.cooler,cart,141
aerocool,computers.components.cooler,purchase,34
aerocool,computers.components.cooler,view,3991
aerocool,computers.components.power_supply,cart,477
aerocool,computers.components.power_supply,purchase,139
aerocool,computers.components.power_supply,view,11304
aerocool,computers.desktop,cart,328
aerocool,computers.desktop,purchase,92
aerocool,computers.desktop,view,10063
aerocool,furniture.living_room.chair,view,5
aeroforce,construction.tools.drill,view,3
afox,computers.components.videocards,cart,20
afox,computers.components.videocards,purchase,5
afox,computers.components.videocards,view,1406
ag,apparel.shoes,cart,17
ag,apparel.shoes,purchase,2
ag,apparel.shoes,view,336
agatharuizdelaprada,apparel.shoes,cart,35
agatharuizdelaprada,apparel.shoes,purchase,9
agatharuizdelaprada,apparel.shoes,view,3482
agatharuizdelaprada,apparel.shoes.keds,view,7
agatharuizdelaprada,apparel.shoes.sandals,cart,1
agatharuizdelaprada,apparel.shoes.sandals,view,226
agness,appliances.kitchen.kettle,view,1
agrimotor,country_yard.lawn_mower,view,17
agu,appliances.kitchen.kettle,cart,11
agu,appliances.kitchen.kettle,purchase,4
agu,appliances.kitchen.kettle,view,361
agu,appliances.personal.scales,cart,11
agu,appliances.personal.scales,purchase,3
agu,appliances.personal.scales,view,395
agu,electronics.clocks,cart,5
agu,electronics.clocks,purchase,1
agu,electronics.clocks,view,395
aiken,construction.tools.welding,cart,2
aiken,construction.tools.welding,purchase,2
aiken,construction.tools.welding,view,214
aimile,kids.carriage,cart,3
aimile,kids.carriage,view,324
aimoto,electronics.clocks,cart,1073
aimoto,electronics.clocks,purchase,303
aimoto,electronics.clocks,view,31284
air-cool,computers.components.power_supply,cart,4
air-cool,computers.components.power_supply,purchase,1
air-cool,computers.components.power_supply,view,191
airline,appliances.environment.vacuum,cart,4
airline,appliances.environment.vacuum,purchase,1
airline,appliances.environment.vacuum,view,590
airline,auto.accessories.compressor,cart,13
airline,auto.accessories.compressor,purchase,1
airline,auto.accessories.compressor,view,1679
airmax,computers.components.power_supply,view,11
aist,sport.bicycle,cart,1
aist,sport.bicycle,view,43
aivengo,apparel.costume,view,1
aivengo,apparel.dress,view,1
akai,electronics.audio.music_tools.piano,cart,64
akai,electronics.audio.music_tools.piano,purchase,28
akai,electronics.audio.music_tools.piano,view,3523
akel,appliances.kitchen.oven,cart,9
akel,appliances.kitchen.oven,purchase,2
akel,appliances.kitchen.oven,view,274
akg,electronics.audio.headphone,cart,15
akg,electronics.audio.headphone,purchase,4
akg,electronics.audio.headphone,view,571
akg,electronics.audio.microphone,cart,43
akg,electronics.audio.microphone,purchase,12
akg,electronics.audio.microphone,view,833
akor,construction.components.faucet,view,4
akpo,appliances.kitchen.hob,cart,2
akpo,appliances.kitchen.hob,view,152
akpo,appliances.kitchen.hood,cart,158
akpo,appliances.kitchen.hood,purchase,43
akpo,appliances.kitchen.hood,view,5720
akpo,appliances.kitchen.oven,cart,1
akpo,appliances.kitchen.oven,view,63
akro,appliances.kitchen.hood,cart,1
akro,appliances.kitchen.hood,purchase,1
akro,appliances.kitchen.hood,view,94
aksion,appliances.kitchen.meat_grinder,cart,6
aksion,appliances.kitchen.meat_grinder,purchase,1
aksion,appliances.kitchen.meat_grinder,view,306
akvafor,stationery.cartrige,cart,1
akvafor,stationery.cartrige,view,212
akvarel,furniture.living_room.cabinet,view,57
akvaton,furniture.living_room.cabinet,cart,27
akvaton,furniture.living_room.cabinet,purchase,5
akvaton,furniture.living_room.cabinet,view,2194
al-ko,construction.tools.saw,view,176
al-ko,country_yard.lawn_mower,cart,3
al-ko,country_yard.lawn_mower,view,67
aladen,apparel.shoes,view,84
alaskaoriginale,apparel.shoes,cart,3
alaskaoriginale,apparel.shoes,purchase,1
alaskaoriginale,apparel.shoes,view,213
alavann,furniture.living_room.cabinet,view,217
alca,auto.accessories.compressor,cart,43
alca,auto.accessories.compressor,purchase,11
alca,auto.accessories.compressor,view,3202
alctron,electronics.audio.headphone,view,65
alctron,electronics.audio.microphone,cart,15
alctron,electronics.audio.microphone,purchase,8
alctron,electronics.audio.microphone,view,805
aldit,furniture.universal.light,view,100
alesis,electronics.audio.acoustic,cart,72
alesis,electronics.audio.acoustic,purchase,29
alesis,electronics.audio.acoustic,view,2303
alesis,electronics.audio.headphone,cart,4
alesis,electronics.audio.headphone,purchase,2
alesis,electronics.audio.headphone,view,107
alesis,electronics.audio.music_tools.piano,cart,96
alesis,electronics.audio.music_tools.piano,purchase,33
alesis,electronics.audio.music_tools.piano,view,2715
aletant,appliances.kitchen.washer,view,219
alfa,furniture.universal.light,view,1
alilo,kids.toys,cart,62
alilo,kids.toys,purchase,25
alilo,kids.toys,view,1916
alis,kids.carriage,cart,357
alis,kids.carriage,purchase,121
alis,kids.carriage,view,13978
alligator,auto.accessories.alarm,cart,61
alligator,auto.accessories.alarm,purchase,15
alligator,auto.accessories.alarm,view,3251
alligator,auto.accessories.compressor,view,24
almacom,appliances.environment.air_conditioner,cart,314
almacom,appliances.environment.air_conditioner,purchase,61
almacom,appliances.environment.air_conditioner,view,11351
almacom,appliances.environment.air_heater,cart,217
almacom,appliances.environment.air_heater,purchase,71
almacom,appliances.environment.air_heater,view,7637
almacom,appliances.environment.water_heater,cart,17
almacom,appliances.environment.water_heater,purchase,3
almacom,appliances.environment.water_heater,view,113
almacom,appliances.kitchen.refrigerators,cart,317
almacom,appliances.kitchen.refrigerators,purchase,66
almacom,appliances.kitchen.refrigerators,view,8806
