brand,category_code,event_type
a-elita,accessories.bag,cart
a-elita,accessories.bag,purchase
a-elita,accessories.bag,view
aardwolf,computers.components.cooler,cart
aardwolf,computers.components.cooler,purchase
aardwolf,computers.components.cooler,view
abtoys,kids.toys,cart
abtoys,kids.toys,view
accumaster,country_yard.lawn_mower,view
acd,computers.components.cooler,cart
acd,computers.components.cooler,view
acer,accessories.bag,cart
acer,accessories.bag,purchase
acer,accessories.bag,view
acer,computers.desktop,cart
acer,computers.desktop,purchase
acer,computers.desktop,view
acer,computers.notebook,cart
acer,computers.notebook,purchase
acer,computers.notebook,view
acer,computers.peripherals.monitor,cart
acer,computers.peripherals.monitor,purchase
acer,computers.peripherals.monitor,view
acer,computers.peripherals.mouse,cart
acer,computers.peripherals.mouse,purchase
acer,computers.peripherals.mouse,view
acer,electronics.audio.headphone,cart
acer,electronics.audio.headphone,purchase
acer,electronics.audio.headphone,view
acer,electronics.tablet,cart
acer,electronics.tablet,purchase
acer,electronics.tablet,view
acer,electronics.video.projector,cart
acer,electronics.video.projector,purchase
acer,electronics.video.projector,view
aces,electronics.audio.subwoofer,cart
aces,electronics.audio.subwoofer,purchase
aces,electronics.audio.subwoofer,view
acme,appliances.personal.scales,cart
acme,appliances.personal.scales,purchase
acme,appliances.personal.scales,view
acme,computers.desktop,view
acme,computers.peripherals.keyboard,cart
acme,computers.peripherals.keyboard,purchase
acme,computers.peripherals.keyboard,view
acme,computers.peripherals.mouse,cart
acme,computers.peripherals.mouse,purchase
acme,computers.peripherals.mouse,view
acme,electronics.audio.headphone,cart
acme,electronics.audio.headphone,purchase
acme,electronics.audio.headphone,view
acme,electronics.camera.video,cart
acme,electronics.camera.video,purchase
acme,electronics.camera.video,view
acme,electronics.clocks,cart
acme,electronics.clocks,purchase
acme,electronics.clocks,view
acqua,electronics.audio.headphone,cart
acqua,electronics.audio.headphone,purchase
acqua,electronics.audio.headphone,view
acron,accessories.bag,cart
acron,accessories.bag,purchase
acron,accessories.bag,view
acv,auto.accessories.player,cart
acv,auto.accessories.player,purchase
acv,auto.accessories.player,view
acv,electronics.audio.subwoofer,cart
acv,electronics.audio.subwoofer,purchase
acv,electronics.audio.subwoofer,view
adagio,electronics.audio.acoustic,cart
adagio,electronics.audio.acoustic,purchase
adagio,electronics.audio.acoustic,view
adam,electronics.audio.acoustic,cart
adam,electronics.audio.acoustic,view
adamas,furniture.bedroom.pillow,cart
adamas,furniture.bedroom.pillow,view
adamex,furniture.kitchen.chair,cart
adamex,furniture.kitchen.chair,purchase
adamex,furniture.kitchen.chair,view
adamex,furniture.living_room.chair,view
adamex,kids.carriage,cart
adamex,kids.carriage,purchase
adamex,kids.carriage,view
adamex,kids.toys,view
adata,computers.components.hdd,cart
adata,computers.components.hdd,purchase
adata,computers.components.hdd,view
adata,computers.components.memory,cart
adata,computers.components.memory,purchase
adata,computers.components.memory,view
adel,furniture.bedroom.pillow,view
adidas,apparel.glove,view
adidas,apparel.shoes.keds,cart
adidas,apparel.shoes.keds,purchase
adidas,apparel.shoes.keds,view
adidas,apparel.tshirt,cart
adidas,apparel.tshirt,view
adil,kids.carriage,view
admira,electronics.audio.acoustic,cart
admira,electronics.audio.acoustic,view
adriatica,electronics.clocks,cart
adriatica,electronics.clocks,purchase
adriatica,electronics.clocks,view
aeg,appliances.kitchen.dishwasher,view
aeg,appliances.kitchen.hob,view
aeg,appliances.kitchen.hood,view
aeg,appliances.kitchen.oven,cart
aeg,appliances.kitchen.oven,purchase
aeg,appliances.kitchen.oven,view
aeg,appliances.kitchen.refrigerators,view
aeg,appliances.personal.massager,cart
aeg,appliances.personal.massager,purchase
aeg,appliances.personal.massager,view
aeg,appliances.personal.scales,cart
aeg,appliances.personal.scales,purchase
aeg,appliances.personal.scales,view
aero,furniture.kitchen.chair,cart
aero,furniture.kitchen.chair,purchase
aero,furniture.kitchen.chair,view
aero,furniture.kitchen.table,cart
aero,furniture.kitchen.table,purchase
aero,furniture.kitchen.table,view
aero,furniture.living_room.sofa,purchase
aero,furniture.living_room.sofa,view
aerocool,computers.components.cooler,cart
aerocool,computers.components.cooler,purchase
aerocool,computers.components.cooler,view
aerocool,computers.components.power_supply,cart
aerocool,computers.components.power_supply,purchase
aerocool,computers.components.power_supply,view
aerocool,computers.desktop,cart
aerocool,computers.desktop,purchase
aerocool,computers.desktop,view
